240,238
0.05,1.2,0
0.1,1.9,0
0.15,1.45,180
0.3,0.4,0
0.35,1.5,0
0.4,1.9,0
0.45,1.75,180
0.6,0.4,0
0.65,1.8,0
0.75,1.95,0
0.75,1.9,0
0.9,0.4,0
1.05,1.9,0
1.2,0.4,0
1.35,1.9,0
1.5,0.4,0
1.65,1.9,0
1.8,0.4,0
1.95,1.9,0
2.1,0.4,0
2.25,1.9,0
2.4,0.4,0
2.55,1.9,0
2.7,0.4,0
2.85,1.9,0
3.0,0.4,0
3.15,1.9,0
3.3,0.4,0
3.45,1.9,0
3.6,0.4,0
3.75,1.9,0
3.9,0.4,0
4.05,1.9,0
4.2,0.4,0
4.35,1.9,0
4.5,0.4,0
4.65,1.9,0
4.8,0.4,0
4.95,1.9,0
5.1,0.4,0
5.25,1.9,0
0.1,11.55,0
0.25,10.1,0
0.4,11.55,0
0.55,10.1,0
0.7,11.55,0
0.85,10.1,0
1.0,11.55,0
1.15,10.1,0
1.3,11.55,0
1.45,10.1,0
1.6,11.55,0
1.75,10.1,0
1.9,11.55,0
2.05,10.1,0
2.2,11.55,0
2.35,10.1,0
2.5,11.55,0
2.65,10.1,0
2.8,11.55,0
2.95,10.1,0
3.1,11.55,0
3.25,10.1,0
3.4,11.55,0
3.55,10.1,0
3.7,11.55,0
3.85,10.1,0
4.0,11.55,0
4.15,10.1,0
4.3,11.55,0
4.45,10.1,0
4.6,11.55,0
4.75,10.1,0
4.9,11.55,0
5.05,10.1,0
5.2,11.55,0
5.35,10.0,0
5.4,11.55,0
5.45,10.25,180
5.6,0.4,0
5.65,10.3,0
5.7,11.55,0
5.75,10.55,180
5.9,0.4,0
5.95,10.6,0
11.85,0.45,180
11.7,1.9,180
11.55,0.45,180
11.4,1.9,180
11.25,0.45,180
11.1,1.9,180
10.95,0.45,180
10.8,1.9,180
10.65,0.45,180
10.5,1.9,180
10.35,0.45,180
10.2,1.9,180
10.05,0.45,180
9.9,1.9,180
9.75,0.45,180
9.6,1.9,180
9.45,0.45,180
9.3,1.9,180
9.15,0.45,180
9.0,1.9,180
8.85,0.45,180
8.7,1.9,180
8.55,0.45,180
8.4,1.9,180
8.25,0.45,180
8.1,1.9,180
7.95,0.45,180
7.8,1.9,180
7.65,0.45,180
7.5,1.9,180
7.35,0.45,180
7.2,1.9,180
7.05,0.45,180
6.9,1.9,180
6.75,0.45,180
6.7,2.05,0
7.7,3.75,180
7.55,8.25,180
7.4,3.75,180
7.25,8.25,180
7.1,3.75,180
6.95,8.25,180
6.8,3.75,180
6.8,10.0,0
6.85,10.0,0
6.9,10.0,0
6.95,10.0,0
7.0,10.0,0
7.05,10.0,0
7.1,10.0,0
7.15,10.0,0
7.2,10.0,0
7.25,10.0,0
7.3,10.0,0
7.35,10.0,0
7.4,10.0,0
7.45,10.0,0
7.5,10.0,0
7.55,10.0,0
7.6,10.0,0
7.65,10.0,0
7.7,10.0,0
7.75,10.0,0
7.8,10.0,0
7.85,10.0,0
7.9,10.0,0
7.95,10.0,0
8.0,10.0,0
8.05,10.0,0
8.1,10.0,0
8.15,10.0,0
8.2,10.0,0
8.25,10.0,0
8.3,10.0,0
8.35,10.0,0
8.4,10.0,0
8.45,10.0,0
8.5,10.0,0
8.55,10.0,0
8.6,10.0,0
8.65,10.0,0
8.7,10.0,0
8.75,10.0,0
8.8,10.0,0
8.85,10.0,0
8.9,10.0,0
8.95,10.0,0
9.0,10.0,0
9.05,10.0,0
9.1,10.0,0
9.15,10.0,0
9.2,10.0,0
9.25,10.0,0
9.3,10.0,0
9.35,10.0,0
9.4,10.0,0
9.45,10.0,0
9.5,10.0,0
9.55,10.0,0
9.6,10.0,0
9.65,10.0,0
9.7,10.0,0
9.75,10.0,0
9.8,10.0,0
9.85,10.0,0
9.9,10.0,0
9.95,10.0,0
10.0,10.0,0
10.05,10.0,0
10.1,10.0,0
10.15,10.0,0
10.2,10.0,0
10.25,10.0,0
10.3,10.0,0
10.35,10.0,0
10.4,10.0,0
10.45,10.0,0
10.5,10.0,0
10.55,10.0,0
10.6,10.0,0
10.65,10.0,0
10.7,10.0,0
10.75,10.0,0
10.8,10.0,0
10.85,10.0,0
10.9,10.0,0
10.95,10.0,0
11.0,10.0,0
11.05,10.0,0
11.1,10.0,0
11.15,10.0,0
11.2,10.0,0
11.25,10.0,0
11.3,10.0,0
11.35,10.0,0
11.4,10.0,0
11.45,10.0,0
11.5,10.0,0
11.55,10.0,0
11.6,10.0,0
11.65,10.0,0
11.7,10.0,0
11.75,10.0,0
11.8,10.0,0
11.85,10.0,0
11.9,10.0,0
11.95,10.0,0
11.95,10.05,0
11.8,11.55,180
11.65,10.1,180
11.5,11.55,180
11.35,10.1,180
11.2,11.55,180
11.05,10.1,180
10.9,11.55,180
10.75,10.1,180
10.6,11.55,180
10.45,10.1,180
10.3,11.55,180
10.15,10.1,180
10.0,11.55,180
9.85,10.1,180
9.7,11.55,180
9.55,10.1,180
9.4,11.55,180
9.25,10.1,180
9.1,11.55,180
8.95,10.1,180
8.8,11.55,180
8.65,10.1,180
8.5,11.55,180
8.35,10.1,180
8.2,11.55,180
8.05,10.1,180
7.9,11.55,180
7.75,10.1,180
7.6,11.55,180
7.45,10.1,180
7.3,11.55,180
7.15,10.1,180
7.0,11.55,180
6.85,10.1,180
6.7,11.55,180
6.55,0.45,180
6.6,11.55,180
6.45,0.45,180
6.5,11.55,180
6.35,0.45,180
6.4,11.55,180
6.25,0.45,180
6.3,11.55,180
6.15,0.45,180
6.2,11.55,180
6.05,0.45,180
6.1,11.55,180
